start_time,identified_style,cost_1.0,cost_1.5,cost_2.0,valid_ratio,gt_style,scenario,scenario_id
0.0,1.0,0.7346987199118293,7.780944459441352,15.35174747293232,1.0,1.0,constant,0
1.0,1.0,0.3447443440892327,7.97637975632646,15.77957304329258,1.0,1.0,constant,0
2.0,1.0,0.09117052119967922,7.538924375152998,15.155172364750745,1.0,1.0,constant,0
3.0,1.0,0.017254129440016572,7.537478148907598,15.078363520500286,1.0,1.0,constant,0
4.0,1.0,0.00602654744036737,7.5234442085770175,15.04718928665555,1.0,1.0,constant,0
5.0,1.0,0.0027021537072067516,7.5073319791815445,15.017366112070297,1.0,1.0,constant,0
6.0,1.0,0.0005142037791137518,7.503927646768034,15.00836949731518,1.0,1.0,constant,0
7.0,1.0,0.00027261102433457133,7.501842950127578,15.003958511279489,1.0,1.0,constant,0
8.0,1.0,0.00016165058514680511,7.500782354159064,15.001726358903277,1.0,1.0,constant,0
9.0,1.0,5.9288523140770983e-05,7.500370365551741,15.000800019626622,1.0,1.0,constant,0
10.0,1.0,2.878864778622038e-05,7.5001684455747455,15.000365679797278,1.0,1.0,constant,0
11.0,1.0,1.3562830468533161e-05,7.500075861523989,15.000165285878447,1.0,1.0,constant,0
12.0,1.0,5.916197963684462e-06,7.500034853358481,15.000075622914926,1.0,1.0,constant,0
13.0,1.0,2.7448497116946674e-06,7.500015850532189,15.000034445914093,1.0,1.0,constant,0
14.0,1.0,1.2535570964913998e-06,7.500007209753642,15.00001567306438,1.0,1.0,constant,0
15.0,1.0,5.66713512688751e-07,7.5000032902393725,15.000007147192258,1.0,1.0,constant,0
16.0,1.0,2.593283237854519e-07,7.500001498102322,15.000003255532969,1.0,1.0,constant,0
17.0,1.0,1.1810254173943749e-07,7.500000682411003,15.000001482924544,1.0,1.0,constant,0
18.0,1.0,5.3740688719893366e-08,7.500000310996254,15.000000675733194,1.0,1.0,constant,0
19.0,1.0,2.450708727851631e-08,7.500000141664789,15.000000307836666,1.0,1.0,constant,0
20.0,1.0,1.1162597100823353e-08,7.500000064541123,15.000000140244847,1.0,1.0,constant,0
21.0,1.0,5.0847291615572205e-09,7.50000002940584,15.00000006389641,1.0,1.0,constant,0
0.0,1.0,0.7346987199118293,7.780944459441352,15.35174747293232,1.0,1.0,braking,1
1.0,1.0,0.3447443440892327,7.97637975632646,15.77957304329258,1.0,1.0,braking,1
2.0,1.0,0.09117052119967922,7.538924375152998,15.155172364750745,1.0,1.0,braking,1
3.0,1.0,0.19183512456680854,7.702136991629365,15.228502777735915,1.0,1.0,braking,1
4.0,1.0,0.21569486826541043,7.384418090184175,14.568746316405802,1.0,1.0,braking,1
5.0,1.0,0.22101123956567867,6.564553839884413,12.932914138900665,1.0,1.0,braking,1
6.0,1.0,0.05249238004510499,5.131065778657757,10.234456875967929,1.0,1.0,braking,1
7.0,1.0,0.0185899824464502,3.670518390815752,7.332838270132348,1.0,1.0,braking,1
8.0,1.0,0.19663192600585375,2.076073764122326,4.280895866021381,1.0,1.0,braking,1
9.0,1.0,0.2304152029113153,0.9268080042658623,1.9967090682820352,1.0,1.0,braking,1
10.0,1.5,0.30169536040545647,0.2785452716744943,0.6413042236123846,1.0,1.0,braking,1
11.0,1.0,0.11488481830003797,0.17557919760453264,0.29680235379529735,1.0,1.0,braking,1
12.0,1.0,0.0727406892478043,0.08981251704547062,0.11928512285036359,1.0,1.0,braking,1
13.0,1.0,0.0,0.0,0.0,1.0,1.0,braking,1
14.0,1.0,0.0,0.0,0.0,1.0,1.0,braking,1
15.0,1.0,0.0,0.0,0.0,1.0,1.0,braking,1
16.0,1.0,0.0,0.0,0.0,1.0,1.0,braking,1
17.0,1.0,0.0,0.0,0.0,1.0,1.0,braking,1
18.0,1.0,0.0,0.0,0.0,1.0,1.0,braking,1
19.0,1.0,0.0,0.0,0.0,1.0,1.0,braking,1
20.0,1.0,0.0,0.0,0.0,1.0,1.0,braking,1
21.0,1.0,0.0,0.0,0.0,1.0,1.0,braking,1
0.0,1.0,0.7346987199118293,7.780944459441352,15.35174747293232,1.0,1.0,emergency,2
1.0,1.0,0.3447443440892327,7.97637975632646,15.77957304329258,1.0,1.0,emergency,2
2.0,1.0,0.09117052119967922,7.538924375152998,15.155172364750745,1.0,1.0,emergency,2
3.0,1.0,0.4053568138000583,7.905009186775977,15.420725478795891,1.0,1.0,emergency,2
4.0,1.0,0.8184893095194172,7.748119670998341,14.678928809029912,0.9933333333333333,1.0,emergency,2
5.0,1.0,1.7826473779844787,7.4173819397766145,13.052116501568749,0.6866666666666666,1.0,emergency,2
6.0,1.0,2.01395314274213,5.159251739069917,8.404847006213693,0.5066666666666667,1.0,emergency,2
7.0,1.0,1.7638219176250056,2.994037652341404,4.324550057873792,0.5133333333333333,1.0,emergency,2
8.0,1.0,0.9257209496122546,1.021403953698792,1.2246834078920827,0.82,1.0,emergency,2
9.0,1.0,0.37444176929317724,0.4644564067142729,0.5694958171548923,1.0,1.0,emergency,2
10.0,1.0,0.19993731303722687,0.27021847029638724,0.35552440057507145,1.0,1.0,emergency,2
11.0,2.0,0.07042798533916918,0.056314949097577824,0.049926906584745745,1.0,1.0,emergency,2
12.0,1.0,0.0,0.0,0.0,1.0,1.0,emergency,2
13.0,1.0,0.0,0.0,0.0,1.0,1.0,emergency,2
14.0,1.0,0.0,0.0,0.0,1.0,1.0,emergency,2
15.0,1.0,0.0,0.0,0.0,1.0,1.0,emergency,2
16.0,1.0,0.0,0.0,0.0,1.0,1.0,emergency,2
17.0,1.0,0.0,0.0,0.0,1.0,1.0,emergency,2
18.0,1.0,0.0,0.0,0.0,1.0,1.0,emergency,2
19.0,1.0,0.0,0.0,0.0,1.0,1.0,emergency,2
20.0,1.0,0.0,0.0,0.0,1.0,1.0,emergency,2
21.0,1.0,0.0,0.0,0.0,1.0,1.0,emergency,2
0.0,1.0,0.7346987199118293,7.780944459441352,15.35174747293232,1.0,1.0,accel,3
1.0,1.0,0.3447443440892327,7.97637975632646,15.77957304329258,1.0,1.0,accel,3
2.0,1.0,0.09117052119967922,7.538924375152998,15.155172364750745,1.0,1.0,accel,3
3.0,1.0,0.10481541233219649,7.456884057863442,15.004736621304149,1.0,1.0,accel,3
4.0,1.0,0.11178042836815137,7.588314151028042,15.276237725851745,1.0,1.0,accel,3
5.0,1.0,0.11359376797887318,7.975768492560801,16.048470646590406,1.0,1.0,accel,3
6.0,1.0,0.026311465342272296,8.687735448206986,17.385122255246177,1.0,1.0,accel,3
7.0,1.0,0.00841999842496889,9.421127005947234,18.840459230443006,1.0,1.0,accel,3
8.0,1.0,0.0032617468022375904,10.145889898437401,20.29504154367704,1.0,1.0,accel,3
9.0,1.0,0.0008240968587773826,10.88897923134064,21.778782559540055,1.0,1.0,accel,3
10.0,1.0,0.0002991621539331725,11.635699760608196,23.271698683370325,1.0,1.0,accel,3
11.0,1.0,0.00021385195157179893,12.383888825956308,24.767991503864188,1.0,1.0,accel,3
12.0,1.0,8.566337314137531e-05,13.133146437982953,26.266378539339048,1.0,1.0,accel,3
13.0,1.0,3.908297147951313e-05,13.882800276562463,27.76563963609641,1.0,1.0,accel,3
14.0,1.0,1.9479997816229156e-05,14.63263633403613,29.265292148070074,1.0,1.0,accel,3
15.0,1.0,8.763341289012736e-06,15.382562771478849,30.765134306298982,1.0,1.0,accel,3
16.0,1.0,4.0660848029918566e-06,16.132528843334853,32.26506175275451,1.0,1.0,accel,3
17.0,1.0,1.9056215768619616e-06,16.882513200254277,33.76502830613013,1.0,1.0,accel,3
18.0,1.0,8.76087893452469e-07,17.63250605673897,35.265012989565825,1.0,1.0,accel,3
19.0,1.0,0.02231376686605584,18.405751598547322,36.78919021421961,1.0,1.0,accel,3
20.0,1.0,0.10094156184014225,19.199263395166316,38.29758552929453,1.0,1.0,accel,3
21.0,1.0,0.10924021405484802,19.706529911955272,39.3167253785495,1.0,1.0,accel,3
0.0,1.0,0.6603389565846379,8.21741561022148,16.30988690553079,1.0,1.0,sine,4
1.0,1.0,0.39574117820447574,9.222080210821282,18.048419243438087,1.0,1.0,sine,4
2.0,1.0,0.13943165840767666,9.011455322075772,17.883478985743864,1.0,1.0,sine,4
3.0,1.0,0.11396957061302485,8.589793119100783,17.074060655274376,1.0,1.0,sine,4
4.0,1.0,0.10123719364450702,7.844890411924389,15.675574082454892,1.0,1.0,sine,4
5.0,1.0,0.11961628161501454,6.972328067743644,14.049181044364392,1.0,1.0,sine,4
6.0,1.0,0.17986109511612391,6.3186972190651405,12.817255533246406,1.0,1.0,sine,4
7.0,1.0,0.18770707361167893,6.119226078061603,12.426159229734886,1.0,1.0,sine,4
8.0,1.0,0.13134308860324656,6.4490529186510095,13.02086758120292,1.0,1.0,sine,4
9.0,1.0,0.1001513523780286,7.184076116863053,14.378080726426248,1.0,1.0,sine,4
10.0,1.0,0.12191001569679683,8.041994222102801,15.977879852031089,1.0,1.0,sine,4
11.0,1.0,0.180856961258076,8.691594357046968,17.202331752835853,1.0,1.0,sine,4
12.0,1.0,0.18729743360538054,8.883645423462518,17.57999341331965,1.0,1.0,sine,4
13.0,1.0,0.13064913195558192,8.547229701746247,16.97038233730393,1.0,1.0,sine,4
14.0,1.0,0.09798112209493674,7.813084284638996,15.61170015257597,1.0,1.0,sine,4
15.0,1.0,0.11902404801125388,6.960954347047481,14.0230056629794,1.0,1.0,sine,4
16.0,1.0,0.1786151559091433,6.313561165754087,12.805737487417316,1.0,1.0,sine,4
17.0,1.0,0.1872291838044125,6.116768665283889,12.42076651437219,1.0,1.0,sine,4
18.0,1.0,0.1311098571848827,6.44800989036243,13.018536892446035,1.0,1.0,sine,4
19.0,1.0,0.10009742936625092,7.183587466242235,14.377023111334669,1.0,1.0,sine,4
20.0,1.0,0.12191415919065117,8.041763427770277,15.977389609149911,1.0,1.0,sine,4
